iter	Passed	Remaining
0	2	286
1	5	274
2	7	233
3	9	217
4	10	206
5	13	203
6	14	197
7	16	193
8	18	191
9	20	186
10	22	181
11	27	202
12	29	197
13	31	191
14	33	187
15	35	184
16	37	180
17	39	178
18	40	174
19	42	170
20	46	176
21	48	172
22	50	169
23	52	164
24	54	162
25	56	159
26	57	156
27	59	153
28	61	150
29	63	147
30	65	144
31	67	142
32	69	140
33	70	137
34	72	134
35	74	132
36	75	129
37	77	126
38	79	123
39	80	121
40	82	118
41	84	116
42	85	113
43	87	111
44	89	109
45	91	107
46	93	105
47	95	103
48	97	101
49	99	99
50	100	97
51	102	94
52	104	92
53	105	90
54	108	88
55	110	86
56	111	84
57	113	82
58	115	80
59	117	78
60	118	75
61	120	73
62	122	71
63	124	69
64	125	67
65	128	66
66	130	64
67	131	62
68	133	59
69	135	57
70	136	55
71	138	53
72	139	51
73	141	49
74	143	47
75	145	45
76	147	43
77	149	42
78	150	40
79	152	38
80	155	36
81	160	35
82	163	33
83	165	31
84	166	29
85	167	27
86	169	25
87	171	23
88	173	21
89	174	19
90	176	17
91	177	15
92	179	13
93	180	11
94	182	9
95	183	7
96	185	5
97	187	3
98	189	1
99	193	0
